"sample_label","stage","feature","value","source_type","rank"
"sample 5","ESCC","alpha_SMA_fibroblast_IF",36.976,"IF quantification",3
"sample 5","NE","CD68_macrophage_IF",70.87,"IF quantification",0
"sample 5","LGIN","CD68_macrophage_IF",28.4693333333333,"IF quantification",1
"sample 5","HGIN","CD68_macrophage_IF",88.6036666666667,"IF quantification",2
"sample 5","ESCC","CD68_macrophage_IF",92.042,"IF quantification",3
"sample 6","NE","alpha_SMA_fibroblast_IF",16.8393333333333,"IF quantification",0
"sample 6","LGIN","alpha_SMA_fibroblast_IF",32.824,"IF quantification",1
"sample 6","HGIN","alpha_SMA_fibroblast_IF",24.2733333333333,"IF quantification",2
"sample 6","ESCC","alpha_SMA_fibroblast_IF",23.799,"IF quantification",3
"sample 6","NE","CD68_macrophage_IF",61.565,"IF quantification",0
"sample 6","LGIN","CD68_macrophage_IF",113.526666666667,"IF quantification",1
"sample 6","HGIN","CD68_macrophage_IF",48.805,"IF quantification",2
"sample 6","ESCC","CD68_macrophage_IF",63.321,"IF quantification",3
"sample 7","NE","alpha_SMA_fibroblast_IF",21.2853333333333,"IF quantification",0
"sample 7","LGIN","alpha_SMA_fibroblast_IF",17.5255,"IF quantification",1
"sample 7","HGIN","alpha_SMA_fibroblast_IF",23.4816666666667,"IF quantification",2
"sample 7","ESCC","alpha_SMA_fibroblast_IF",20.693,"IF quantification",3
"sample 7","NE","CD68_macrophage_IF",72.0176666666667,"IF quantification",0
"sample 7","LGIN","CD68_macrophage_IF",40.8085,"IF quantification",1
"sample 7","HGIN","CD68_macrophage_IF",83.8173333333333,"IF quantification",2
"sample 7","ESCC","CD68_macrophage_IF",71.934,"IF quantification",3
"sample 8","NE","alpha_SMA_fibroblast_IF",17.905,"IF quantification",0
"sample 8","LGIN","alpha_SMA_fibroblast_IF",20.8722,"IF quantification",1
"sample 8","HGIN","alpha_SMA_fibroblast_IF",20.7136666666667,"IF quantification",2
"sample 8","ESCC","alpha_SMA_fibroblast_IF",26.419,"IF quantification",3
"sample 8","NE","CD68_macrophage_IF",44.002,"IF quantification",0
"sample 8","LGIN","CD68_macrophage_IF",47.3294,"IF quantification",1
"sample 8","HGIN","CD68_macrophage_IF",73.5486666666667,"IF quantification",2
"sample 8","ESCC","CD68_macrophage_IF",106.106,"IF quantification",3
"sample 9","NE","alpha_SMA_fibroblast_IF",10.9366666666667,"IF quantification",0
"sample 9","LGIN","alpha_SMA_fibroblast_IF",8.592,"IF quantification",1
"sample 9","HGIN","alpha_SMA_fibroblast_IF",22.54975,"IF quantification",2
"sample 9","ESCC","alpha_SMA_fibroblast_IF",22.01,"IF quantification",3
"sample 9","NE","CD68_macrophage_IF",56.016,"IF quantification",0
"sample 9","LGIN","CD68_macrophage_IF",44.213,"IF quantification",1
